date,home_team,away_team,winner,first_shooter,home_shot_first,home_team_won,year,is_recent,prior_matchup_count
2024-09-10,Cambodia,Sri Lanka,Sri Lanka,Cambodia,1,0,2024,1,0
2025-06-08,Portugal,Spain,Portugal,Portugal,1,1,2025,1,1
2025-06-28,Panama,Honduras,Honduras,Panama,1,0,2025,1,0
2025-06-29,Canada,Guatemala,Guatemala,Canada,1,0,2025,1,0
2025-06-29,United States,Costa Rica,United States,Costa Rica,0,1,2025,1,0
2025-07-13,Gozo,Shetland,Gozo,Gozo,1,1,2025,1,0
2025-11-16,Nigeria,DR Congo,DR Congo,Nigeria,1,0,2025,1,0
2025-11-25,Palestine,Libya,Palestine,Palestine,1,1,2025,1,0
2025-11-26,Oman,Somalia,Oman,Oman,1,1,2025,1,0
2025-11-26,Comoros,Yemen,Comoros,Yemen,0,1,2025,1,0
2025-12-12,Algeria,United Arab Emirates,United Arab Emirates,Algeria,1,0,2025,1,0
2026-01-03,Mali,Tunisia,Mali,Tunisia,0,1,2026,1,0
2026-01-14,Morocco,Nigeria,Morocco,Morocco,1,1,2026,1,0
2026-01-17,Egypt,Nigeria,Nigeria,Nigeria,0,0,2026,1,0
2026-03-26,Wales,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,0,0,2026,1,0
2026-03-26,Czech Republic,Republic of Ireland,Czech Republic,Republic of Ireland,0,1,2026,1,0
2026-03-27,Kenya,Estonia,Estonia,Estonia,0,0,2026,1,0
2026-03-28,Namibia,Comoros,Namibia,Comoros,0,1,2026,1,0
2026-03-30,Azerbaijan,Sierra Leone,Azerbaijan,Azerbaijan,1,1,2026,1,0
2026-03-30,Cape Verde,Finland,Cape Verde,Cape Verde,1,1,2026,1,0
2026-03-30,Gabon,Trinidad and Tobago,Gabon,Trinidad and Tobago,0,1,2026,1,0
2026-03-30,Uzbekistan,Venezuela,Uzbekistan,Venezuela,0,1,2026,1,0
2026-03-31,Bosnia and Herzegovina,Italy,Bosnia and Herzegovina,Bosnia and Herzegovina,1,1,2026,1,0
2026-03-31,Czech Republic,Denmark,Czech Republic,Denmark,0,1,2026,1,0
2026-06-06,Lithuania,Latvia,Lithuania,Lithuania,1,1,2026,1,0
2026-06-29,Germany,Paraguay,Paraguay,Germany,1,0,2026,1,0
2026-06-29,Netherlands,Morocco,Morocco,Netherlands,1,0,2026,1,0
2026-07-03,Australia,Egypt,Egypt,Australia,1,0,2026,1,0
2026-07-07,Switzerland,Colombia,Switzerland,Colombia,0,1,2026,1,0
